id_record,id_service,record_timestamp
29439471,3222,2023-09-01 00:00:00.000000
29444229,2478,2023-09-01 00:00:00.000000
29448305,2478,2023-09-01 01:00:00.000000
29446583,3222,2023-09-01 01:00:00.000000
29450154,2256,2023-09-01 00:00:00.000000
29450157,2256,2023-09-01 01:00:00.000000
29450788,2256,2023-09-01 02:00:00.000000
29450547,3222,2023-09-01 02:00:00.000000
29451199,2478,2023-09-01 02:00:00.000000
29452194,3222,2023-09-01 03:00:00.000000
29452435,2478,2023-09-01 03:00:00.000000
29453404,3222,2023-09-01 04:00:00.000000
29453681,2478,2023-09-01 04:00:00.000000
29454566,2256,2023-09-01 03:00:00.000000
29454567,2256,2023-09-01 04:00:00.000000
29454744,3222,2023-09-01 05:00:00.000000
29454965,2478,2023-09-01 05:00:00.000000
29455942,2256,2023-09-01 05:00:00.000000
29456283,3222,2023-09-01 06:00:00.000000
29456491,2478,2023-09-01 06:00:00.000000
29457719,2256,2023-09-01 06:00:00.000000
29457722,2256,2023-09-01 07:00:00.000000
29457318,3222,2023-09-01 07:00:00.000000
29457836,2478,2023-09-01 07:00:00.000000
29459338,2478,2023-09-01 08:00:00.000000
29459114,3222,2023-09-01 08:00:00.000000
29460162,3222,2023-09-01 09:00:00.000000
29460773,2478,2023-09-01 09:00:00.000000
29461638,2256,2023-09-01 08:00:00.000000
29461645,2256,2023-09-01 09:00:00.000000
29461646,2256,2023-09-01 10:00:00.000000
29461935,2478,2023-09-01 10:00:00.000000
29461573,3222,2023-09-01 10:00:00.000000
29463157,2478,2023-09-01 11:00:00.000000
29462833,3222,2023-09-01 11:00:00.000000
29463805,3222,2023-09-01 12:00:00.000000
29464335,2478,2023-09-01 12:00:00.000000
29464001,2256,2023-09-01 11:00:00.000000
29464003,2256,2023-09-01 12:00:00.000000
29465180,3222,2023-09-01 13:00:00.000000
29465570,2478,2023-09-01 13:00:00.000000
29465153,2256,2023-09-01 13:00:00.000000
29466210,3222,2023-09-01 14:00:00.000000
29466754,2478,2023-09-01 14:00:00.000000
29467690,3222,2023-09-01 15:00:00.000000
29468200,2478,2023-09-01 15:00:00.000000
29468576,2256,2023-09-01 14:00:00.000000
29468584,2256,2023-09-01 15:00:00.000000
29469330,2478,2023-09-01 16:00:00.000000
29469012,3222,2023-09-01 16:00:00.000000
29470111,2256,2023-09-01 16:00:00.000000
29470115,2256,2023-09-01 17:00:00.000000
29469929,3222,2023-09-01 17:00:00.000000
29471324,2256,2023-09-01 18:00:00.000000
29470514,2478,2023-09-01 17:00:00.000000
29471464,3222,2023-09-01 18:00:00.000000
29471822,2478,2023-09-01 18:00:00.000000
29472857,2256,2023-09-01 19:00:00.000000
29472542,3222,2023-09-01 19:00:00.000000
29472930,2478,2023-09-01 19:00:00.000000
29473973,3222,2023-09-01 20:00:00.000000
29474162,2478,2023-09-01 20:00:00.000000
29475142,2256,2023-09-01 20:00:00.000000
29475145,2256,2023-09-01 21:00:00.000000
29475321,3222,2023-09-01 21:00:00.000000
29476134,2478,2023-09-01 21:00:00.000000
29476524,3222,2023-09-01 22:00:00.000000
29476757,2478,2023-09-01 22:00:00.000000
29477526,2256,2023-09-01 22:00:00.000000
29477826,2256,2023-09-01 23:00:00.000000
29477919,3222,2023-09-01 23:00:00.000000
29478169,2478,2023-09-01 23:00:00.000000
29483938,2478,2023-09-02 00:00:00.000000
29479478,3222,2023-09-02 00:00:00.000000
29486070,3222,2023-09-02 01:00:00.000000
29487961,2478,2023-09-02 01:00:00.000000
29489703,2256,2023-09-02 00:00:00.000000
29489704,2256,2023-09-02 01:00:00.000000
29489959,3222,2023-09-02 02:00:00.000000
29490537,2478,2023-09-02 02:00:00.000000
29490709,2256,2023-09-02 02:00:00.000000
29491976,3222,2023-09-02 03:00:00.000000
29492243,2478,2023-09-02 03:00:00.000000
29493129,2256,2023-09-02 03:00:00.000000
29493407,3222,2023-09-02 04:00:00.000000
29494477,2256,2023-09-02 04:00:00.000000
29493660,2478,2023-09-02 04:00:00.000000
29494722,3222,2023-09-02 05:00:00.000000
29495902,2256,2023-09-02 05:00:00.000000
29494931,2478,2023-09-02 05:00:00.000000
29496205,3222,2023-09-02 06:00:00.000000
29496436,2478,2023-09-02 06:00:00.000000
29497312,2256,2023-09-02 06:00:00.000000
29497747,3222,2023-09-02 07:00:00.000000
29497933,2478,2023-09-02 07:00:00.000000
29498751,2256,2023-09-02 07:00:00.000000
29498814,2256,2023-09-02 08:00:00.000000
29498922,3222,2023-09-02 08:00:00.000000
29499272,2478,2023-09-02 08:00:00.000000
29501387,2256,2023-09-02 09:00:00.000000
29501388,2256,2023-09-02 10:00:00.000000
29500382,2478,2023-09-02 09:00:00.000000
29500702,3222,2023-09-02 09:00:00.000000
29501366,3222,2023-09-02 10:00:00.000000
29501804,2478,2023-09-02 10:00:00.000000
29503060,2478,2023-09-02 11:00:00.000000
29502630,3222,2023-09-02 11:00:00.000000
29502881,2256,2023-09-02 11:00:00.000000
29504168,2256,2023-09-02 12:00:00.000000
29503792,3222,2023-09-02 12:00:00.000000
29504178,2478,2023-09-02 12:00:00.000000
29505248,2256,2023-09-02 13:00:00.000000
29505180,3222,2023-09-02 13:00:00.000000
29505596,2478,2023-09-02 13:00:00.000000
29506337,3222,2023-09-02 14:00:00.000000
29506552,2256,2023-09-02 14:00:00.000000
29506775,2478,2023-09-02 14:00:00.000000
29508529,2256,2023-09-02 15:00:00.000000
29508549,2256,2023-09-02 16:00:00.000000
29507534,3222,2023-09-02 15:00:00.000000
29507708,2478,2023-09-02 15:00:00.000000
29509196,2478,2023-09-02 16:00:00.000000
29508803,3222,2023-09-02 16:00:00.000000
29509932,2256,2023-09-02 17:00:00.000000
29510058,3222,2023-09-02 17:00:00.000000
29510409,2478,2023-09-02 17:00:00.000000
29511039,3222,2023-09-02 18:00:00.000000
29512046,2256,2023-09-02 18:00:00.000000
29511840,2478,2023-09-02 18:00:00.000000
29512413,3222,2023-09-02 19:00:00.000000
29512764,2478,2023-09-02 19:00:00.000000
29512313,2256,2023-09-02 19:00:00.000000
29513501,3222,2023-09-02 20:00:00.000000
29514058,2478,2023-09-02 20:00:00.000000
29514520,3222,2023-09-02 21:00:00.000000
29514931,2478,2023-09-02 21:00:00.000000
29516599,2256,2023-09-02 20:00:00.000000
29516604,2256,2023-09-02 21:00:00.000000
29515740,3222,2023-09-02 22:00:00.000000
29516136,2478,2023-09-02 22:00:00.000000
29516618,2256,2023-09-02 22:00:00.000000
29517253,2256,2023-09-02 23:00:00.000000
29517305,3222,2023-09-02 23:00:00.000000
29518864,3222,2023-09-03 00:00:00.000000
29518615,2256,2023-09-03 00:00:00.000000
29517598,2478,2023-09-02 23:00:00.000000
29522917,2478,2023-09-03 00:00:00.000000
29527083,3222,2023-09-03 01:00:00.000000
29528933,2478,2023-09-03 01:00:00.000000
29530442,2256,2023-09-03 02:00:00.000000
29529251,2256,2023-09-03 01:00:00.000000
29529538,3222,2023-09-03 02:00:00.000000
29530150,2478,2023-09-03 02:00:00.000000
29531594,3222,2023-09-03 03:00:00.000000
29531871,2478,2023-09-03 03:00:00.000000
29532661,2256,2023-09-03 03:00:00.000000
29532871,3222,2023-09-03 04:00:00.000000
29533205,2478,2023-09-03 04:00:00.000000
29533973,2256,2023-09-03 04:00:00.000000
29534238,3222,2023-09-03 05:00:00.000000
29534587,2478,2023-09-03 05:00:00.000000
29535410,2256,2023-09-03 05:00:00.000000
29535558,3222,2023-09-03 06:00:00.000000
29535753,2478,2023-09-03 06:00:00.000000
29536855,3222,2023-09-03 07:00:00.000000
29537034,2478,2023-09-03 07:00:00.000000
29537774,2256,2023-09-03 06:00:00.000000
29537775,2256,2023-09-03 07:00:00.000000
29538126,3222,2023-09-03 08:00:00.000000
29538278,2256,2023-09-03 08:00:00.000000
29538514,2478,2023-09-03 08:00:00.000000
29539335,2256,2023-09-03 09:00:00.000000
29539435,3222,2023-09-03 09:00:00.000000
29539723,2478,2023-09-03 09:00:00.000000
29540479,3222,2023-09-03 10:00:00.000000
29541464,2256,2023-09-03 10:00:00.000000
29540753,2478,2023-09-03 10:00:00.000000
29542063,2478,2023-09-03 11:00:00.000000
29541815,2256,2023-09-03 11:00:00.000000
29541644,3222,2023-09-03 11:00:00.000000
29543081,2256,2023-09-03 12:00:00.000000
29542891,3222,2023-09-03 12:00:00.000000
29543285,2478,2023-09-03 12:00:00.000000
29544375,2478,2023-09-03 13:00:00.000000
29544531,3222,2023-09-03 13:00:00.000000
29545236,2256,2023-09-03 13:00:00.000000
29545245,2256,2023-09-03 14:00:00.000000
29545237,3222,2023-09-03 14:00:00.000000
29545565,2478,2023-09-03 14:00:00.000000
29546791,2256,2023-09-03 15:00:00.000000
29546558,3222,2023-09-03 15:00:00.000000
29546952,2478,2023-09-03 15:00:00.000000
29547747,3222,2023-09-03 16:00:00.000000
29547930,2478,2023-09-03 16:00:00.000000
29548952,2256,2023-09-03 16:00:00.000000
29548957,2256,2023-09-03 17:00:00.000000
29548899,3222,2023-09-03 17:00:00.000000
29549208,2478,2023-09-03 17:00:00.000000
29550148,3222,2023-09-03 18:00:00.000000
29550328,2478,2023-09-03 18:00:00.000000
29551115,2256,2023-09-03 18:00:00.000000
29551124,2256,2023-09-03 19:00:00.000000
29551246,3222,2023-09-03 19:00:00.000000
29552215,2478,2023-09-03 19:00:00.000000
29552594,3222,2023-09-03 20:00:00.000000
29552840,2478,2023-09-03 20:00:00.000000
29553747,2256,2023-09-03 20:00:00.000000
29553752,2256,2023-09-03 21:00:00.000000
29554061,2478,2023-09-03 21:00:00.000000
29553707,3222,2023-09-03 21:00:00.000000
29555380,2478,2023-09-03 22:00:00.000000
29555101,2256,2023-09-03 22:00:00.000000
29555129,3222,2023-09-03 22:00:00.000000
29556605,2478,2023-09-03 23:00:00.000000
29557351,2256,2023-09-03 23:00:00.000000
29556324,3222,2023-09-03 23:00:00.000000
29557710,3222,2023-09-04 00:00:00.000000
29561964,2478,2023-09-04 00:00:00.000000
29566183,2478,2023-09-04 01:00:00.000000
29564514,3222,2023-09-04 01:00:00.000000
29568358,2256,2023-09-04 00:00:00.000000
29568359,2256,2023-09-04 01:00:00.000000
29569372,2478,2023-09-04 02:00:00.000000
29568882,3222,2023-09-04 02:00:00.000000
29569641,2256,2023-09-04 02:00:00.000000
29571218,3222,2023-09-04 03:00:00.000000
29571452,2478,2023-09-04 03:00:00.000000
29572370,2256,2023-09-04 03:00:00.000000
29572531,3222,2023-09-04 04:00:00.000000
29572942,2478,2023-09-04 04:00:00.000000
29573796,2256,2023-09-04 04:00:00.000000
29574109,3222,2023-09-04 05:00:00.000000
29574432,2478,2023-09-04 05:00:00.000000
29575197,2256,2023-09-04 05:00:00.000000
29575501,3222,2023-09-04 06:00:00.000000
29576477,2256,2023-09-04 06:00:00.000000
29575730,2478,2023-09-04 06:00:00.000000
29576908,2478,2023-09-04 07:00:00.000000
29576686,3222,2023-09-04 07:00:00.000000
29578042,2256,2023-09-04 07:00:00.000000
29578050,2256,2023-09-04 08:00:00.000000
29577679,3222,2023-09-04 08:00:00.000000
29578101,2478,2023-09-04 08:00:00.000000
29579935,3222,2023-09-04 09:00:00.000000
29580456,2478,2023-09-04 10:00:00.000000
29579401,2478,2023-09-04 09:00:00.000000
29580230,3222,2023-09-04 10:00:00.000000
29579264,2256,2023-09-04 09:00:00.000000
29582047,2478,2023-09-04 11:00:00.000000
29581624,3222,2023-09-04 11:00:00.000000
29581965,2256,2023-09-04 10:00:00.000000
29581970,2256,2023-09-04 11:00:00.000000
29583364,2256,2023-09-04 12:00:00.000000
29583563,2478,2023-09-04 12:00:00.000000
29583049,3222,2023-09-04 12:00:00.000000
29584190,3222,2023-09-04 13:00:00.000000
29584634,2478,2023-09-04 13:00:00.000000
29584463,2256,2023-09-04 13:00:00.000000
29585646,2256,2023-09-04 14:00:00.000000
